X,Y,theta,r
160,90,1.5707963267949,0
160,1820,1.5707963267949,0
360,1820,-1.5707963267949,0
360,90,-1.5707963267949,0
560,90,1.5707963267949,0
560,1820,1.5707963267949,0
760,1820,-1.5707963267949,0
760,90,-1.5707963267949,0
960,90,1.5707963267949,0
960,1820,1.5707963267949,0
1160,1820,-1.5707963267949,0
1160,90,-1.5707963267949,0
1360,90,1.5707963267949,0
1360,1820,1.5707963267949,0
1560,1820,-1.5707963267949,0
1560,90,-1.5707963267949,0
1760,90,1.5707963267949,0
1760,1820,1.5707963267949,0
1960,1820,-1.5707963267949,0
1960,90,-1.5707963267949,0
